Acct_Num,CustID,Balance,Acct_type,Acct_status
1001,1,1500.00,Savings,Active
1002,2,3000.00,Checking,Active
1003,3,2500.00,Savings,Inactive
1004,4,4000.00,Checking,Active
1005,5,1000.00,Savings,Active
1006,6,2200.00,Checking,Inactive
1007,7,3300.00,Savings,Active
1008,8,1400.00,Checking,Active
1009,9,1100.00,Savings,Inactive
1010,10,1200.00,Checking,Active
1011,11,2300.00,Savings,Inactive
1012,12,3400.00,Checking,Active
1013,13,4500.00,Savings,Active
1014,14,5600.00,Checking,Inactive
1015,15,6700.00,Savings,Active
1016,16,7800.00,Checking,Inactive
1017,17,8900.00,Savings,Active
1018,18,9100.00,Checking,Active
1019,19,10200.00,Savings,Inactive
1020,20,11300.00,Checking,Active
